name,capacity,floor,type
Aula 1.1 (PB.01),115,0,theory
Aula 1.2 (PB.02),115,0,theory
Aula 1.3 (PB.03),120,0,theory
Aula 1.4 (PB.04),115,0,theory
Aula 1.5 (PB.05),156,0,theory
Aula 1.6,30,0,lab
Aula 1.7 (PB.040),76,0,theory
Aula 1.13,62,0,theory
Aula 1.14,30,0,lab
Aula 2.1 (P1.01),54,1,theory
Aula 2.2 (P1.03),59,1,theory
Aula 2.3 (P1.04),48,1,theory
Aula 2.4 (P1.05),57,1,theory
Aula 2.5 (P1.06),27,1,computer_lab
Aula 2.6 (P1.07),58,1,theory
Aula 2.7 (P1.08),58,1,theory
Aula 2.8 (P1.09),58,1,theory
Aula 2.9 (P1.10),58,1,theory
Aula 2.10,39,1,lab
Aula 2.11,60,1,lab
Aula 2.12,93,1,lab
Aula 2.13,93,1,lab
Aula 2.14,40,1,lab
Aula 2.15,40,1,lab
Aula 3.1 (P2.01),32,2,theory
Aula 3.3 (P2.03),48,2,theory
Aula 3.4 (P2.04),56,2,theory
Aula 3.5 (P2.05),32,2,theory
Aula 3.6,48,2,theory
Aula 3.7 (P2.06),48,2,theory
Aula 3.8 (P2.07),20,2,theory
Aula 3.9 (P2.08),56,2,theory
Aula 3.10 (P2.09),171,2,theory
Sala 1.1,30,0,computer_lab
Sala 1.2,30,0,computer_lab
Sala 1.3,30,0,computer_lab
Sala 1.4,30,0,computer_lab
Sala 2.1,30,1,computer_lab
Sala 2.2,30,1,computer_lab
Sala 2.3,30,1,computer_lab
Sala 2.4,30,1,computer_lab
Sala 2.5,30,1,computer_lab
Sala 2.6,40,1,computer_lab
